date;type;description;transferred
3/apr;vrijdag;Good Friday;Gazetted Holiday
4/apr;zaterdag;First day of Passover;Observance
5/apr;zondag;Easter Day;Restricted Holiday
14/apr;dinsdag;Vaisakhi;Restricted Holiday
14/apr;dinsdag;Ambedkar Jayanti;Observance
15/apr;woensdag;Mesadi/Vaisakhadi;Restricted Holiday
;;;
1/mei;vrijdag;May Day;Observance
3/mei;zondag;Hazarat Ali's Birthday;Restricted Holiday
4/mei;maandag;Buddha Purnima/Vesak;Gazetted Holiday
9/mei;zaterdag;Birthday of Ravindranath;Restricted Holiday
10/mei;zondag;Mother's Day;Observance
;;;
21/jun;zondag;Father's Day;Observance
21/jun;zondag;June Solstice;Season
;;;
17/jul;vrijdag;Jamat Ul-Vida;Restricted Holiday
18/jul;zaterdag;Rath Yatra;Restricted Holiday
19/jul;zondag;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
;;;
2/aug;zondag;Friendship Day;Observance
15/aug;zaterdag;Independence Day;Gazetted Holiday
18/aug;dinsdag;Parsi New Year;Restricted Holiday
28/aug;vrijdag;Onam;Restricted Holiday
29/aug;zaterdag;Raksha Bandhan (Rakhi);Restricted Holiday
;;;
5/sep;zaterdag;Janmashtami;Gazetted Holiday
17/sep;donderdag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
23/sep;woensdag;September Equinox;Season
25/sep;vrijdag;Bakr Id/Eid ul-Adha;Gazetted Holiday
;;;
2/okt;vrijdag;Mahatma Gandhi Jayanti;Gazetted Holiday
20/okt;dinsdag;Maha Saptami;Restricted Holiday
21/okt;woensdag;Maha Ashtami;Restricted Holiday
22/okt;donderdag;Dussehra;Gazetted Holiday
24/okt;zaterdag;Muharram/Ashura;Gazetted Holiday
27/okt;dinsdag;Maharishi Valmiki Jayanti;Restricted Holiday
30/okt;vrijdag;Karaka Chaturthi (Karva Chauth);Restricted Holiday
31/okt;zaterdag;Halloween;Observance
;;;
10/nov;dinsdag;Naraka Chaturdasi;Restricted Holiday
11/nov;woensdag;Diwali/Deepavali;Gazetted Holiday
12/nov;donderdag;Govardhan Puja;Restricted Holiday
13/nov;vrijdag;Bhai Duj;Restricted Holiday
17/nov;dinsdag;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
24/nov;dinsdag;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
25/nov;woensdag;Guru Nanak Jayanti;Gazetted Holiday
;;;
7/dec;maandag;First Day of Hanukkah;Observance
14/dec;maandag;Last day of Hanukkah;Observance
22/dec;dinsdag;December Solstice;Season
24/dec;donderdag;Christmas Eve;Restricted Holiday
25/dec;vrijdag;Christmas;Gazetted Holiday
31/dec;donderdag;New Year's Eve;Observance
1/jan;vrijdag;New Year's Day;Restricted Holiday
14/jan;donderdag;Makar Sankranti;Restricted Holiday
15/jan;vrijdag;Pongal;Restricted Holiday
16/jan;zaterdag;Guru Govind Singh Jayanti;Restricted Holiday
26/jan;dinsdag;Republic Day;Gazetted Holiday
;;;
8/feb;maandag;Chinese New Year;Observance
12/feb;vrijdag;Vasant Panchami;Restricted Holiday
14/feb;zondag;Valentine's Day;Observance
19/feb;vrijdag;Shivaji Jayanti;Restricted Holiday
22/feb;maandag;Guru Ravidas Jayanti;Restricted Holiday
;;;
4 mrt;vrijdag;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
7 mrt;maandag;Maha Shivaratri/Shivaratri;Gazetted Holiday
20 mrt;zondag;March Equinox;Season
23 mrt;woensdag;Holika Dahana;Restricted Holiday
24 mrt;donderdag;Maundy Thursday;Observance, Christian
24 mrt;donderdag;Holi;Restricted Holiday
25 mrt;vrijdag;Good Friday;Gazetted Holiday
27 mrt;zondag;Easter Day;Restricted Holiday
;;;
8/apr;vrijdag;Chaitra Sukhladi;Restricted Holiday
13/apr;woensdag;Vaisakhi;Restricted Holiday
14/apr;donderdag;Mesadi/Vaisakhadi;Restricted Holiday
14/apr;donderdag;Ambedkar Jayanti;Observance
15/apr;vrijdag;Rama Navami;Gazetted Holiday
20/apr;woensdag;Mahavir Jayanti;Gazetted Holiday
21/apr;donderdag;Hazarat Ali's Birthday;Restricted Holiday
23/apr;zaterdag;First day of Passover;Observance
;;;
1/mei;zondag;May Day;Observance
8/mei;zondag;Mother's Day;Observance
8/mei;zondag;Birthday of Ravindranath;Restricted Holiday
21/mei;zaterdag;Buddha Purnima/Vesak;Gazetted Holiday
;;;
19/jun;zondag;Father's Day;Observance
21/jun;dinsdag;June Solstice;Season
;;;
1/jul;vrijdag;Jamat Ul-Vida;Restricted Holiday
6/jul;woensdag;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
6/jul;woensdag;Rath Yatra;Restricted Holiday
;;;
7/aug;zondag;Friendship Day;Observance
15/aug;maandag;Independence Day;Gazetted Holiday
17/aug;woensdag;Parsi New Year;Restricted Holiday
18/aug;donderdag;Raksha Bandhan (Rakhi);Restricted Holiday
25/aug;donderdag;Janmashtami;Gazetted Holiday
;;;
5/sep;maandag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
13/sep;dinsdag;Bakr Id/Eid ul-Adha;Gazetted Holiday
14/sep;woensdag;Onam;Restricted Holiday
22/sep;donderdag;September Equinox;Season
;;;
2/okt;zondag;Mahatma Gandhi Jayanti;Gazetted Holiday
9/okt;zondag;Maha Ashtami;Restricted Holiday
11/okt;dinsdag;Dussehra;Gazetted Holiday
12/okt;woensdag;Muharram/Ashura;Gazetted Holiday
14/okt;vrijdag;National Day of Mourning King Bhumibol Adulyadej;National holiday
16/okt;zondag;Maharishi Valmiki Jayanti;Restricted Holiday
19/okt;woensdag;Karaka Chaturthi (Karva Chauth);Restricted Holiday
29/okt;zaterdag;Naraka Chaturdasi;Restricted Holiday
30/okt;zondag;Diwali/Deepavali;Gazetted Holiday
31/okt;maandag;Halloween;Observance
31/okt;maandag;Govardhan Puja;Restricted Holiday
;;;
1/nov;dinsdag;Bhai Duj;Restricted Holiday
6/nov;zondag;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
14/nov;maandag;Guru Nanak Jayanti;Gazetted Holiday
24/nov;donderdag;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
;;;
13/dec;dinsdag;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
21/dec;woensdag;December Solstice;Season
24/dec;zaterdag;Christmas Eve;Restricted Holiday
25/dec;zondag;First Day of Hanukkah;Observance
25/dec;zondag;Christmas;Gazetted Holiday
31/dec;zaterdag;New Year's Eve;Observance
1/jan;zondag;Last day of Hanukkah;Observance
1/jan;zondag;New Year's Day;Restricted Holiday
5/jan;donderdag;Guru Govind Singh Jayanti;Restricted Holiday
14/jan;zaterdag;Pongal;Restricted Holiday
14/jan;zaterdag;Makar Sankranti;Restricted Holiday
26/jan;donderdag;Republic Day;Gazetted Holiday
28/jan;zaterdag;Chinese New Year;Observance
;;;
1/feb;woensdag;Vasant Panchami;Restricted Holiday
10/feb;vrijdag;Guru Ravidas Jayanti;Restricted Holiday
14/feb;dinsdag;Valentine's Day;Observance
19/feb;zondag;Shivaji Jayanti;Restricted Holiday
21/feb;dinsdag;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
24/feb;vrijdag;Maha Shivaratri/Shivaratri;Gazetted Holiday
;;;
12 mrt;zondag;Holika Dahana;Restricted Holiday
13 mrt;maandag;Holi;Restricted Holiday
20 mrt;maandag;March Equinox;Season
28 mrt;dinsdag;Chaitra Sukhladi;Restricted Holiday
;;;
4/apr;dinsdag;Rama Navami;Gazetted Holiday
9/apr;zondag;Mahavir Jayanti;Gazetted Holiday
11/apr;dinsdag;First day of Passover;Observance
11/apr;dinsdag;Hazarat Ali's Birthday;Restricted Holiday
13/apr;donderdag;Maundy Thursday;Observance, Christian
14/apr;vrijdag;Good Friday;Gazetted Holiday
