date,type,description,transferred
2016-jul-6,woensdag,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2016-jul-6,woensdag,Rath Yatra,Restricted Holiday
2016-aug-7,zondag,Friendship Day,Observance
2016-aug-15,maandag,Independence Day,Gazetted Holiday
2016-aug-17,woensdag,Parsi New Year,Restricted Holiday
2016-aug-18,donderdag,Raksha Bandhan (Rakhi),Restricted Holiday
2016-aug-25,donderdag,Janmashtami,Gazetted Holiday
2016-sep-5,maandag,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2016-sep-13,dinsdag,Bakr Id/Eid ul-Adha,Gazetted Holiday
2016-sep-14,woensdag,Onam,Restricted Holiday
2016-sep-22,donderdag,September Equinox,Season
2016-okt-2,zondag,Mahatma Gandhi Jayanti,Gazetted Holiday
2016-okt-9,zondag,Maha Ashtami,Restricted Holiday
2016-okt-11,dinsdag,Dussehra,Gazetted Holiday
2016-okt-12,woensdag,Muharram/Ashura,Gazetted Holiday
2016-okt-14,vrijdag,National Day of Mourning King Bhumibol Adulyadej,National holiday
2016-okt-16,zondag,Maharishi Valmiki Jayanti,Restricted Holiday
2016-okt-19,woensdag,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2016-okt-29,zaterdag,Naraka Chaturdasi,Restricted Holiday
2016-okt-30,zondag,Diwali/Deepavali,Gazetted Holiday
2016-okt-31,maandag,Halloween,Observance
2016-okt-31,maandag,Govardhan Puja,Restricted Holiday
2016-nov-1,dinsdag,Bhai Duj,Restricted Holiday
2016-nov-6,zondag,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2016-nov-14,maandag,Guru Nanak Jayanti,Gazetted Holiday
2016-nov-24,donderdag,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2016-dec-13,dinsdag,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2016-dec-21,woensdag,December Solstice,Season
2016-dec-24,zaterdag,Christmas Eve,Restricted Holiday
2016-dec-25,zondag,First Day of Hanukkah,Observance
2016-dec-25,zondag,Christmas,Gazetted Holiday
2016-dec-31,zaterdag,New Year's Eve,Observance
2017-jan-1,zondag,Last day of Hanukkah,Observance
2017-jan-1,zondag,New Year's Day,Restricted Holiday
2017-jan-5,donderdag,Guru Govind Singh Jayanti,Restricted Holiday
2017-jan-14,zaterdag,Pongal,Restricted Holiday
2017-jan-14,zaterdag,Makar Sankranti,Restricted Holiday
2017-jan-26,donderdag,Republic Day,Gazetted Holiday
2017-jan-28,zaterdag,Chinese New Year,Observance
2017-feb-1,woensdag,Vasant Panchami,Restricted Holiday
2017-feb-10,vrijdag,Guru Ravidas Jayanti,Restricted Holiday
2017-feb-14,dinsdag,Valentine's Day,Observance
2017-feb-19,zondag,Shivaji Jayanti,Restricted Holiday
2017-feb-21,dinsdag,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2017-feb-24,vrijdag,Maha Shivaratri/Shivaratri,Gazetted Holiday
2017-mrt-12,zondag,Holika Dahana,Restricted Holiday
2017-mrt-13,maandag,Holi,Restricted Holiday
2017-mrt-20,maandag,March Equinox,Season
2017-mrt-28,dinsdag,Chaitra Sukhladi,Restricted Holiday
2017-apr-4,dinsdag,Rama Navami,Gazetted Holiday
2017-apr-9,zondag,Mahavir Jayanti,Gazetted Holiday
2017-apr-11,dinsdag,First day of Passover,Observance
2017-apr-11,dinsdag,Hazarat Ali's Birthday,Restricted Holiday
2017-apr-13,donderdag,Maundy Thursday,"Observance, Christian"
2017-apr-14,vrijdag,Good Friday,Gazetted Holiday
2017-apr-14,vrijdag,Vaisakhi,Restricted Holiday
2017-apr-14,vrijdag,Ambedkar Jayanti,Observance
2017-apr-15,zaterdag,Mesadi/Vaisakhadi,Restricted Holiday
2017-apr-16,zondag,Easter Day,Restricted Holiday
2017-mei-1,maandag,May Day,Observance
2017-mei-9,dinsdag,Birthday of Ravindranath,Restricted Holiday
2017-mei-10,woensdag,Buddha Purnima/Vesak,Gazetted Holiday
2017-mei-14,zondag,Mother's Day,Observance
2017-jun-18,zondag,Father's Day,Observance
2017-jun-21,woensdag,June Solstice,Season
2017-jun-23,vrijdag,Jamat Ul-Vida,Restricted Holiday
2017-jun-25,zondag,Rath Yatra,Restricted Holiday
2017-jun-26,maandag,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2017-aug-6,zondag,Friendship Day,Observance
2017-aug-7,maandag,Raksha Bandhan (Rakhi),Restricted Holiday
2017-aug-15,dinsdag,Independence Day,Gazetted Holiday
2017-aug-15,dinsdag,Janmashtami,Gazetted Holiday
2017-aug-17,donderdag,Parsi New Year,Restricted Holiday
2017-aug-25,vrijdag,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2017-sep-2,zaterdag,Bakr Id/Eid ul-Adha,Gazetted Holiday
2017-sep-4,maandag,Onam,Restricted Holiday
2017-sep-23,zaterdag,September Equinox,Season
2017-sep-27,woensdag,Maha Saptami,Restricted Holiday
2017-sep-28,donderdag,Maha Ashtami,Restricted Holiday
2017-sep-29,vrijdag,Maha Navami,Restricted Holiday
2017-sep-30,zaterdag,Dussehra,Gazetted Holiday
2017-okt-1,zondag,Muharram/Ashura,Gazetted Holiday
2017-okt-2,maandag,Mahatma Gandhi Jayanti,Gazetted Holiday
2017-okt-5,donderdag,Maharishi Valmiki Jayanti,Restricted Holiday
2017-okt-8,zondag,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2017-okt-18,woensdag,Naraka Chaturdasi,Restricted Holiday
2017-okt-19,donderdag,Diwali/Deepavali,Gazetted Holiday
2017-okt-20,vrijdag,Govardhan Puja,Restricted Holiday
2017-okt-21,zaterdag,Bhai Duj,Restricted Holiday
2017-okt-26,donderdag,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2017-okt-31,dinsdag,Halloween,Observance
2017-nov-4,zaterdag,Guru Nanak Jayanti,Gazetted Holiday
2017-nov-24,vrijdag,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2017-dec-2,zaterdag,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2017-dec-13,woensdag,First Day of Hanukkah,Observance
2017-dec-20,woensdag,Last day of Hanukkah,Observance
2017-dec-21,donderdag,December Solstice,Season
2017-dec-24,zondag,Christmas Eve,Restricted Holiday
2017-dec-25,maandag,Christmas,Gazetted Holiday
2017-dec-25,maandag,Guru Govind Singh Jayanti,Observance
2017-dec-31,zondag,New Year's Eve,Observance
